web-scraper-order,web-scraper-start-url,name,rating
1615248519-90,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.7
1615248519-94,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.3
1615248519-112,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null
1615248519-108,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Ragazzo,null
1615248519-88,https://www.rappi.com.mx/restaurantes/category/pizza,La Mía Pizza,4.7
1615248519-111,https://www.rappi.com.mx/restaurantes/category/pizza,Zapata Pizza,4.6
1615248519-92,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,4.6
1615248519-106,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema Pizza Buffet,null
1615248519-107,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Trattoria,null
1615248519-123,https://www.rappi.com.mx/restaurantes/category/pizza,"Rodeo Cruzeli's Pizza Suc: Comerciantes, Qro.",null
1615248519-93,https://www.rappi.com.mx/restaurantes/category/pizza,La Patrona QRO,4.5
1615248519-104,https://www.rappi.com.mx/restaurantes/category/pizza,Brutus Pizza,4.8
1615248519-98,https://www.rappi.com.mx/restaurantes/category/pizza,San Teo,null
1615248519-89,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.7
1615248519-105,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,null
1615248519-101,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,null
1615248519-121,https://www.rappi.com.mx/restaurantes/category/pizza,ke chelas,null
1615248519-113,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza Avenida del Parque,4.5
1615248519-114,https://www.rappi.com.mx/restaurantes/category/pizza,La Santa Pizza,null
1615248519-110,https://www.rappi.com.mx/restaurantes/category/pizza,Fiume 37,null
1615248519-96,https://www.rappi.com.mx/restaurantes/category/pizza,Trattoria la Nonna Mirador,4.7
1615248519-97,https://www.rappi.com.mx/restaurantes/category/pizza,Movies Pizza,5
1615248519-91,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5
1615248519-115,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Tec,null
1615248519-122,https://www.rappi.com.mx/restaurantes/category/pizza,Lynchburg,null
1615248519-95,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,3.5
1615248519-125,https://www.rappi.com.mx/restaurantes/category/pizza,Pronto Pizza Qro,null
1615248519-103,https://www.rappi.com.mx/restaurantes/category/pizza,Corleone Pizza,null
1615248519-99,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino's Pizza,4.8
1615248519-120,https://www.rappi.com.mx/restaurantes/category/pizza,Furiosa Sports Bar,null
1615248519-117,https://www.rappi.com.mx/restaurantes/category/pizza,Dio Pizza.,null
1615248519-118,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,3.2
1615248519-119,https://www.rappi.com.mx/restaurantes/category/pizza,"Gab's Pizzas, Burritos y Mas",null
1615248519-116,https://www.rappi.com.mx/restaurantes/category/pizza,Mamba Pizza Co.,null
1615248519-102,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,4.8
1615248519-127,https://www.rappi.com.mx/restaurantes/category/pizza,Ké-Chelas,null
1615248519-109,https://www.rappi.com.mx/restaurantes/category/pizza,Che Chelas,null
1615248519-124,https://www.rappi.com.mx/restaurantes/category/pizza,Sinatra Pizzeria,null
1615248519-126,https://www.rappi.com.mx/restaurantes/category/pizza,Di Vino Italian Restaurant,null
1615248519-100,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino´s Pizza,null
1615248123-87,https://www.rappi.com.mx/restaurantes/category/pizza,Angie's Pizza,null
1615248123-76,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,4.3
1615248123-83,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Pub,null
1615248123-85,https://www.rappi.com.mx/restaurantes/category/pizza,El Hornero Pizzas y Empanadas,null
1615248123-78,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.1
1615248123-84,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,null
1615248123-77,https://www.rappi.com.mx/restaurantes/category/pizza,Chechinos Pizza,null
1615248123-79,https://www.rappi.com.mx/restaurantes/category/pizza,Piu Pizza,4.6
1615248123-86,https://www.rappi.com.mx/restaurantes/category/pizza,Le Chef Querétaro,null
1615248123-82,https://www.rappi.com.mx/restaurantes/category/pizza,Sofía Pizzería,null
1615248123-80,https://www.rappi.com.mx/restaurantes/category/pizza,Marconni's Pizzería,null
1615248123-81,https://www.rappi.com.mx/restaurantes/category/pizza,Chef On Fuego,null
1615247787-72,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Puq,null
1615247787-75,https://www.rappi.com.mx/restaurantes/category/pizza,Nuut Grill,null
1615247787-73,https://www.rappi.com.mx/restaurantes/category/pizza,Lucciano's,null
1615247787-74,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Industry,null
1615247787-70,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,3.7
1615247787-71,https://www.rappi.com.mx/restaurantes/category/pizza,Piccolo Pizza,null
1615247167-49,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,4.3
1615247167-50,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,null
1615247167-43,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5
1615247167-48,https://www.rappi.com.mx/restaurantes/category/pizza,Los Dogos,4.5
1615247167-64,https://www.rappi.com.mx/restaurantes/category/pizza,"Gab's Pizzas, Burritos y Mas",null
1615247167-61,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Ricum Di Vendi,null
1615247167-63,https://www.rappi.com.mx/restaurantes/category/pizza,Sinatra Pizzeria,null
1615247167-55,https://www.rappi.com.mx/restaurantes/category/pizza,Aldo's Pizza,null
1615247167-62,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null
1615247167-67,https://www.rappi.com.mx/restaurantes/category/pizza,Slicers Pizza,null
1615247167-69,https://www.rappi.com.mx/restaurantes/category/pizza,Nambila Pizza,null
1615247167-56,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Ragazzo,null
1615247167-45,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,null
1615247167-47,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.3
1615247167-44,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,2.5
1615247167-42,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.7
1615247167-52,https://www.rappi.com.mx/restaurantes/category/pizza,Trattoria la Nonna Mirador,4.7
1615247167-65,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Sinatra 351,null
1615247167-58,https://www.rappi.com.mx/restaurantes/category/pizza,College Bar,null
1615247167-46,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,4.6
1615247167-66,https://www.rappi.com.mx/restaurantes/category/pizza,Furiosa Sports Bar,null
1615247167-68,https://www.rappi.com.mx/restaurantes/category/pizza,Galia - Postreria y Pizza,null
1615247167-54,https://www.rappi.com.mx/restaurantes/category/pizza,Napoli Pizza Plaza Callao,null
1615247167-53,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,null
1615247167-51,https://www.rappi.com.mx/restaurantes/category/pizza,La Patrona QRO,4.5
1615247167-41,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.8
1615247167-59,https://www.rappi.com.mx/restaurantes/category/pizza,Lynchburg,null
1615247167-57,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema Pizza Buffet,null
1615247167-60,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Trattoria,null
1615246794-36,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Ricum Di Vendi,null
