web-scraper-order,web-scraper-start-url,name,rating
"1615246794-36","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeria Ricum Di Vendi","null"
"1615246794-3","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeta","4.7"
"1615246794-31","https://www.rappi.com.mx/restaurantes/category/pizza","Ké-Chelas","null"
"1615246794-18","https://www.rappi.com.mx/restaurantes/category/pizza","Brutus Pizza","4.8"
"1615246794-33","https://www.rappi.com.mx/restaurantes/category/pizza","Pronto Pizza Qro","null"
"1615246794-26","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Ragazzo","null"
"1615246794-16","https://www.rappi.com.mx/restaurantes/category/pizza","Tonino´s Pizza","null"
"1615246794-6","https://www.rappi.com.mx/restaurantes/category/pizza","Cosi Fan Tutte","4.6"
"1615246794-11","https://www.rappi.com.mx/restaurantes/category/pizza","Zapata Pizza","4.6"
"1615246794-39","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeria Sinatra 351","null"
"1615246794-30","https://www.rappi.com.mx/restaurantes/category/pizza","Fiume 37","null"
"1615246794-12","https://www.rappi.com.mx/restaurantes/category/pizza","Corleone Pizza","null"
"1615246794-17","https://www.rappi.com.mx/restaurantes/category/pizza","Bruno","null"
"1615246794-1","https://www.rappi.com.mx/restaurantes/category/pizza","Little Caesars","4.8"
"1615246794-5","https://www.rappi.com.mx/restaurantes/category/pizza","Tonino's Pizza","4.8"
"1615246794-23","https://www.rappi.com.mx/restaurantes/category/pizza","Movies Pizza","5"
"1615246794-4","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Hut","4.5"
"1615246794-27","https://www.rappi.com.mx/restaurantes/category/pizza","Cheese Up","4.3"
"1615246794-2","https://www.rappi.com.mx/restaurantes/category/pizza","Il Diavolo","4.6"
"1615246794-21","https://www.rappi.com.mx/restaurantes/category/pizza","Che Chelas","null"
"1615246794-35","https://www.rappi.com.mx/restaurantes/category/pizza","Little Rome Pizza","null"
"1615246794-34","https://www.rappi.com.mx/restaurantes/category/pizza","La Piccola Trattoria","null"
"1615246794-19","https://www.rappi.com.mx/restaurantes/category/pizza","California Pizza Kitchen","null"
"1615246794-40","https://www.rappi.com.mx/restaurantes/category/pizza","Gab's Pizzas, Burritos y Mas","null"
"1615246794-15","https://www.rappi.com.mx/restaurantes/category/pizza","La Patrona QRO","4.5"
"1615246794-32","https://www.rappi.com.mx/restaurantes/category/pizza","Lynchburg","null"
"1615246794-24","https://www.rappi.com.mx/restaurantes/category/pizza","Napoli Pizza Plaza Callao","null"
"1615246794-29","https://www.rappi.com.mx/restaurantes/category/pizza","Ipanema Pizza Buffet","null"
"1615246794-38","https://www.rappi.com.mx/restaurantes/category/pizza","Ipanema","null"
"1615246794-22","https://www.rappi.com.mx/restaurantes/category/pizza","Dio Pizza.","null"
"1615246794-20","https://www.rappi.com.mx/restaurantes/category/pizza","Abuelitas Pizza Avenida del Parque","4.5"
"1615246794-25","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Tec","null"
"1615246794-8","https://www.rappi.com.mx/restaurantes/category/pizza","San Teo","null"
"1615246794-37","https://www.rappi.com.mx/restaurantes/category/pizza","Sinatra Pizzeria","null"
"1615246794-14","https://www.rappi.com.mx/restaurantes/category/pizza","Benedetti's","null"
"1615246794-10","https://www.rappi.com.mx/restaurantes/category/pizza","Piu Pizza","null"
"1615246794-7","https://www.rappi.com.mx/restaurantes/category/pizza","Santa Fortuna","null"
"1615246794-28","https://www.rappi.com.mx/restaurantes/category/pizza","College Bar","null"
"1615246794-13","https://www.rappi.com.mx/restaurantes/category/pizza","Il Pizzaiolo Qro","4.4"
"1615246794-9","https://www.rappi.com.mx/restaurantes/category/pizza","Abuelitas Pizza","4.8"
