web-scraper-order,web-scraper-start-url,name,rating
"1615248123-87","https://www.rappi.com.mx/restaurantes/category/pizza","Angie's Pizza","null"
"1615248123-76","https://www.rappi.com.mx/restaurantes/category/pizza","Domino's Pizza","4.3"
"1615248123-83","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Pub","null"
"1615248123-85","https://www.rappi.com.mx/restaurantes/category/pizza","El Hornero Pizzas y Empanadas","null"
"1615248123-78","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeta","4.1"
"1615248123-84","https://www.rappi.com.mx/restaurantes/category/pizza","Cosi Fan Tutte","null"
"1615248123-77","https://www.rappi.com.mx/restaurantes/category/pizza","Chechinos Pizza","null"
"1615248123-79","https://www.rappi.com.mx/restaurantes/category/pizza","Piu Pizza","4.6"
"1615248123-86","https://www.rappi.com.mx/restaurantes/category/pizza","Le Chef Querétaro","null"
"1615248123-82","https://www.rappi.com.mx/restaurantes/category/pizza","Sofía Pizzería","null"
"1615248123-80","https://www.rappi.com.mx/restaurantes/category/pizza","Marconni's Pizzería","null"
"1615248123-81","https://www.rappi.com.mx/restaurantes/category/pizza","Chef On Fuego","null"
