web-scraper-order,web-scraper-start-url,name,rating
"1615247167-49","https://www.rappi.com.mx/restaurantes/category/pizza","Cheese Up","4.3"
"1615247167-50","https://www.rappi.com.mx/restaurantes/category/pizza","Benedetti's","null"
"1615247167-43","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Hut","4.5"
"1615247167-48","https://www.rappi.com.mx/restaurantes/category/pizza","Los Dogos","4.5"
"1615247167-64","https://www.rappi.com.mx/restaurantes/category/pizza","Gab's Pizzas, Burritos y Mas","null"
"1615247167-61","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeria Ricum Di Vendi","null"
"1615247167-63","https://www.rappi.com.mx/restaurantes/category/pizza","Sinatra Pizzeria","null"
"1615247167-55","https://www.rappi.com.mx/restaurantes/category/pizza","Aldo's Pizza","null"
"1615247167-62","https://www.rappi.com.mx/restaurantes/category/pizza","Ipanema","null"
"1615247167-67","https://www.rappi.com.mx/restaurantes/category/pizza","Slicers Pizza","null"
"1615247167-69","https://www.rappi.com.mx/restaurantes/category/pizza","Nambila Pizza","null"
"1615247167-56","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Ragazzo","null"
"1615247167-45","https://www.rappi.com.mx/restaurantes/category/pizza","Abuelitas Pizza","null"
"1615247167-47","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeta","4.3"
"1615247167-44","https://www.rappi.com.mx/restaurantes/category/pizza","Domino's Pizza","2.5"
"1615247167-42","https://www.rappi.com.mx/restaurantes/category/pizza","Il Diavolo","4.7"
"1615247167-52","https://www.rappi.com.mx/restaurantes/category/pizza","Trattoria la Nonna Mirador","4.7"
"1615247167-65","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeria Sinatra 351","null"
"1615247167-58","https://www.rappi.com.mx/restaurantes/category/pizza","College Bar","null"
"1615247167-46","https://www.rappi.com.mx/restaurantes/category/pizza","Cosi Fan Tutte","4.6"
"1615247167-66","https://www.rappi.com.mx/restaurantes/category/pizza","Furiosa Sports Bar","null"
"1615247167-68","https://www.rappi.com.mx/restaurantes/category/pizza","Galia - Postreria y Pizza","null"
"1615247167-54","https://www.rappi.com.mx/restaurantes/category/pizza","Napoli Pizza Plaza Callao","null"
"1615247167-53","https://www.rappi.com.mx/restaurantes/category/pizza","Diktatur","null"
"1615247167-51","https://www.rappi.com.mx/restaurantes/category/pizza","La Patrona QRO","4.5"
"1615247167-41","https://www.rappi.com.mx/restaurantes/category/pizza","Little Caesars","4.8"
"1615247167-59","https://www.rappi.com.mx/restaurantes/category/pizza","Lynchburg","null"
"1615247167-57","https://www.rappi.com.mx/restaurantes/category/pizza","Ipanema Pizza Buffet","null"
"1615247167-60","https://www.rappi.com.mx/restaurantes/category/pizza","La Piccola Trattoria","null"
